cylinders,fuel,mileage,body,doors,drivetrain,price
6.0,3,6.0,6,4.0,1,40344.0
4.0,0,10.0,0,3.0,3,61276.0
4.0,3,5.0,7,4.0,0,31042.0
4.0,4,4.0,6,4.0,1,58840.0
4.0,3,5.0,6,4.0,0,53395.0
4.0,4,11.0,6,4.0,0,33695.0
4.0,4,12.0,6,4.0,1,54899.0
4.0,5,3.0,6,4.0,0,54939.0
4.0,3,13.0,6,4.0,2,34310.0
4.0,3,1.0,5,4.0,0,41995.0
4.0,3,12.0,6,4.0,0,39935.0
6.0,0,22.0,5,4.0,1,79934.0
4.0,5,8.0,6,4.0,0,54949.0
6.0,3,20.0,7,4.0,3,36083.0
6.0,3,26.0,6,4.0,0,47100.0
4.0,3,2.0,6,4.0,0,31301.0
4.0,3,12.0,6,4.0,0,73020.0
4.0,3,5.0,6,4.0,0,25311.0
6.0,3,6.0,6,4.0,1,49411.0
4.0,4,10.0,7,4.0,2,32520.0
8.0,3,10.0,5,4.0,1,45716.0
4.0,3,9.0,6,4.0,1,38980.0
4.0,3,3.0,6,4.0,0,47290.0
6.0,3,5.0,6,4.0,0,45038.0
4.0,4,0.0,6,4.0,0,56079.0
6.0,0,13.0,5,4.0,1,63609.0
4.0,4,33.0,6,4.0,0,35364.0
4.0,3,1.0,5,4.0,0,36970.0
6.0,3,10.0,6,4.0,1,74600.0
4.0,4,16.0,6,4.0,0,40835.0
4.0,4,5.0,6,4.0,0,42597.0
4.0,3,7.0,6,4.0,0,51725.0
6.0,3,5.0,5,4.0,1,54620.0
8.0,3,95.0,5,2.0,1,63010.0
4.0,3,0.0,6,4.0,0,34940.0
4.0,4,5.0,6,4.0,0,44600.0
4.0,3,19.0,6,4.0,0,62145.0
6.0,0,12.0,5,4.0,1,58950.0
8.0,3,5.0,6,4.0,0,47340.0
4.0,4,10.0,6,4.0,0,51585.0
8.0,3,19.0,6,4.0,0,46835.0
4.0,3,3.0,6,4.0,0,40260.0
4.0,3,48.0,6,4.0,0,32485.0
6.0,0,6.0,5,2.0,1,61330.0
4.0,4,5.0,6,4.0,0,45141.0
6.0,3,0.0,6,4.0,0,54620.0
6.0,3,3.0,6,4.0,1,67105.0
4.0,4,7.0,6,4.0,1,51845.0
8.0,3,22.0,6,4.0,0,47340.0
6.0,3,0.0,4,4.0,2,44350.0
6.0,3,25.0,3,4.0,2,45300.0
4.0,3,5.0,6,4.0,0,40474.0
4.0,3,17.0,6,4.0,2,31860.0
4.0,3,0.0,6,4.0,1,35999.0
3.0,3,3.0,6,4.0,0,34799.0
8.0,3,31.0,5,4.0,3,48995.0
6.0,3,1946.0,6,4.0,0,94895.0
4.0,3,11.0,6,4.0,1,54835.0
3.0,3,3.0,6,4.0,0,41180.0
4.0,3,7.0,6,4.0,1,28265.0
4.0,3,6.0,6,4.0,0,28994.0
6.0,3,20.0,7,4.0,3,35821.0
8.0,3,5.0,5,4.0,1,47105.0
4.0,3,11.0,6,4.0,0,38717.0
4.0,4,12.0,6,4.0,0,36600.0
